"0.00 - Kids 1"     [https://www.youtube.com/playlist?list=PLyQ7uIPMuZMzx4FjhocMyRlBKV62U4-3k]
    idTtdWVmFAQ    |    Introduction to Integers
    L_6Y3kZCmEw    |    Solving Trigonometric Equations by Graphs (2 of 2: Tan example)
    yUaiUPeoTaM    |    How to Sketch y = tan(x) Quickly & Accurately
    0e5okPcD1O4    |    Solving Trigonometric Equations by Quadrants (1 of 3: Introduction)
    nGTdvCnMi9k    |    Solving Trigonometric Equations by Quadrants (2 of 3: Examples)
    l4V2SruSlZQ    |    Solving Trigonometric Equations by Quadrants (3 of 3: Why 180°+ x?)
    v2CJ6sVkPoM    |    5.3 Trigonometry - Quick Questions #4
    hyesZgKFQeI    |    5.3 Trigonometry - Quick Questions #5
    fB0hLF-t5-w    |    The Sine Rule (1 of 2: What does it actually mean?)
    DD-Tn_EEjI8    |    The Sine Rule (2 of 2: Proving & Using the Formula)
    XQnIMHVmwAs    |    5.3 Trigonometry: Quick Questions #6
    g-hsBcmqCmc    |    Using the Sine Rule to Find Angles (1 of 3: Basic Example)
    pd_ywdkpmPk    |    Using the Sine Rule to Find Angles (2 of 3: The Ambiguous Case)
    u99rtkY-33o    |    Using the Sine Rule to Find Angles (3 of 3: Searching for ambiguity)
    oHeNLlzUSGo    |    Applying the Sine Rule (1 of 2: Finding an acute angle)
    YR9pJGmiKso    |    Applying the Sine Rule (2 of 2: Finding an obtuse angle)
    LGyrAKx94mY    |    Y10 Review Questions (Sine Rule)
    1U7OWoU26XA    |    5.3 Trigonometry: Quick Questions #7
    G0vFAAya-Pg    |    Cosine Rule (1 of 2: Stating & re-arranging the formula)
    _cL1EG_83Qc    |    Cosine Rule (2 of 2: Example questions)
    FeubDMBf2wo    |    The Cosine Rule (1 of 3: Proof of the Formula)
    Yv38o9C1hRM    |    The Cosine Rule (2 of 3: Basic Example of Finding Sides)
    gR7dAvxc2dI    |    The Cosine Rule (3 of 3: How to tell which rule to use)
    TOKKuo9W34o    |    5.3 Trigonometry: Quick Questions #8
    HZ2HWHPb9sw    |    The Cosine Rule for Angles
    0H8MR75wgWE    |    5.3 Trigonometry: Quick Questions #9
    EO2wBUqvs6Q    |    Area of a Triangle (Deriving the trigonometric formula)
    _Fy_PZiNsPs    |    Area of a Triangle (Trigonometric Formula)
    E5atQX-doaY    |    Overview of 5.3 Trigonometry
    buoAzyIjqkI    |    【ぽるし】ブレインロット　踊ってみた
    0AGBkR7q53k    |    Trigonometry (1 of 2: Exploring the connection between ratio of sides on different triangles)
    zpG0tLvhVoQ    |    Trigonometry (2 of 2: Defining the ratios found as sine, cosine and tangent)
    IQBR_34neWo    |    Trigonometric Ratios (Review Questions)
    TCF35NrG_CI    |    Trigonometry Review (Review of Trigonometric Ratios)
    xdGSkd0lTm0    |    Using a "Magic" Trick as an analogy for the implication of Sine, Cosine and Tangents
    DzhsiuIiKCg    |    Area of a Triangle: ½absinC
    ZxwKDh48Eco    |    Review Questions (Right-Angled Triangle Trigonometry)
    sQ5mfUD-o4I    |    Sine Rule (1 of 3: Where does it come from?)
    CobTlA8GrqA    |    Sine Rule (2 of 3: How do I use it?)
    DdGsrAOPY8A    |    The Sine Rule (3 of 3: When is it useful?)
    iy8ktMFF7KU    |    Sine Rule for Angles: The Ambiguous Case
    cOI1140Saxs    |    The Sine Rule (1 of 2: Proving the result)
    6_lp-qsJKwQ    |    The Sine Rule (2 of 2: Ambiguous case)
    s3DvfQbiSic    |    The Cosine Rule (1 of 2: Introduction & relation to Pythagoras' Theorem)
    mel0Y7i9rD8    |    The Cosine Rule (2 of 2: Examples of finding sides & angles)
    io43Zrr2e3s    |    Sine Rule: The Ambiguous Case
    YjgEPxvxlZs    |    Cosine Rule: An Upgrade to Pythagoras' Theorem
    nJQkCU1JDGM    |    Sine Rule - example test question
    xJ_TQIJ746M    |    Cosine Rule - example test question
    fMIqJzt2sCk    |    Overview of Trigonometric Techniques

"0.37 - geo.cartesian 1"     [https://www.youtube.com/playlist?list=PLyQ7uIPMuZMw1FqwmvpXDLLtbrDn8ZxBo]
    vKUyCIJfYfY    |    Ado くちばしにチェリー 20200623
    W0gqIF3B_A0    |    Calculating Distance (1 of 5: Review of Pythagoras' Theorem)
    98nRnimn7G4    |    Calculating Distance (2 of 5: Using Pythagoras w/ Coordinates)
    -M462r6vChY    |    Calculating Distance (4 of 5: Developing the Formula)
    C15CP2QG-T0    |    Calculating Distance (5 of 5: Using the Formula)
    99MRLjoj5Tk    |    Deriving the Distance Formula
    yudeOCF3dy0    |    Finding the Midpoint (1 of 3: Horizontal & Vertical Intervals)
    K0I5iqPE0fY    |    Finding the Midpoint (2 of 3: Between 2 Random Points)
    oe6EHBBe3Lc    |    Finding the Midpoint (3 of 3: Using the Formula)
    vSbYM6X7qho    |    Finding the centre of a square
    a62dST8IPIE    |    Introduction to Coordinate Geometry (1 of 2: The Cartesian Plane)
    GYBx3pfGqig    |    Introduction to Coordinate Geometry (2 of 2: Midpoint Formula)
    LTFOZkUEuXE    |    Y10 Review Questions (Midpoints)
    PYZ9P99i6l8    |    Plotting points & sketching graphs on the Cartesian plane
    RRGkuCNhZWA    |    Understanding a triangle through Coordinate Geometry
    89gtweJAj9s    |    The Circle (1 of 2: Starting with a verbal definition)
    u03Pt_SKyn8    |    The Circle (2 of 2: Constructing the Cartesian equation)
    0Wj9jBl8CxE    |    Equation of a Translated Circle
    cxn-b6_E7Kw    |    Equations of straight lines
    1tcmai8ieZg    |    Gradient (1 of 3: Developing the formula)
    lvb4Haxrmk8    |    Gradient (2 of 3: Angle of inclination)
    73glcx_ujeI    |    Gradient (3 of 3: Example of finding an angle)
    msjaLNqbmvM    |    Linear Functions (1 of 2: Simple Forms)
    DbnYLtRIgfo    |    Linear Functions (2 of 2: Forms Involving Geometric Features)

"0.39 - algebra.Grade 09"     [https://www.youtube.com/playlist?list=PLyQ7uIPMuZMzbgLRFhXEWRq_veFIPkIaz]
    dir5nFkhpcc    |    【Ado】橙ゲノム 歌いました
    GzzXvkTJpwQ    |    Algebraic Fractions (1 of 3: Why do they matter?)
    XnZmt_dCR90    |    Algebraic Fractions (2 of 3: Example questions)
    fs6YeGZ3QYM    |    Algebraic Fractions (3 of 3: Denominators & restricted domains)
    mjFIVwGGU_A    |    Problem Solving with Quadratic Equations (1 of 2: Geometry example)
    wZkQHhTxcmI    |    Problem Solving with Quadratic Equations (2 of 2: Watching for restrictions)
    yFOGavlJxxQ    |    Year 10 Test Review: Algebra
    Dis-C78LV-c    |    Quadratic Factorisation (1 of 3: Overview of Methods)
    S_Tc4ak9Wmg    |    Quadratic Factorisation (2 of 3: Translating to a quadratic equation)
    jSeSA5FxmzQ    |    Quadratic Factorisation (3 of 3: Interpreting quadratic solutions)
    RyfOdNjZlkw    |    Factorisation (1 of 4: What's the point?)
    06NQm4PQinc    |    Factorisation (2 of 4: Unlocking a number's structure)
    KnPcgFFeLGo    |    Factorisation (3 of 4: Applying difference of squares)
    czsOuFsEQZs    |    Factorisation (4 of 4: The factors of z^4 + 4)
    dZs9tIVnQvk    |    Quadratic Functions: What the Discrimant tells you
    2k030RuNyOE    |    Solving Non-Monic Quadratic Equations (Basic Examples)
    lg2FjYbhntQ    |    Simultaneous Linear/Quadratic Equations (1 of 2: Considering a line & parabola)
    g1_5uckynk4    |    Simultaneous Linear/Quadratic Equations (2 of 2: Varying numbers of solutions)
    6L_Q6a4Bp1s    |    Visual Representation of Solving Simultaneous Equations

"0.40 - algebra.Grade 10"     [https://www.youtube.com/playlist?list=PLyQ7uIPMuZMxiOH_S_1nSXNXkP_H69flZ]
    dKzaI8IfTAg    |    Quadratic Equation Problems (1 of 2: Overall guide)
    z5qb9MVmpT0    |    Quadratic Equation Problems (2 of 2: Worked example)
    QsWz8eC5G90    |    Graphing Parabolas (working with general quadratic equations)
    -z0t3D-PM8U    |    Graphing Parabolas with Axis of Symmetry
    11masNWwvZY    |    Y10 Review Questions (Solving quadratic & trigonometric equations)
    cfOouvt8C8w    |    Y10 Review Questions (Solving & forming quadratic equations)
    99MRLjoj5Tk    |    Deriving the Distance Formula
    yudeOCF3dy0    |    Finding the Midpoint (1 of 3: Horizontal & Vertical Intervals)
    K0I5iqPE0fY    |    Finding the Midpoint (2 of 3: Between 2 Random Points)
    oe6EHBBe3Lc    |    Finding the Midpoint (3 of 3: Using the Formula)
    89gtweJAj9s    |    The Circle (1 of 2: Starting with a verbal definition)
    u03Pt_SKyn8    |    The Circle (2 of 2: Constructing the Cartesian equation)
    0Wj9jBl8CxE    |    Equation of a Translated Circle
    ebPeW93Ll-U    |    Applications of Completing the Square (1 of 2: Finding a parabola's vertex)
    wWPC8EeH6vw    |    Applications of Completing the Square (2 of 2: Finding a circle's centre)
    o0t2RFBmIC0    |    Intersection Between Lines & Curves (1 of 2: Basic example)
    3swPRGnDRbM    |    Intersection Between Lines & Curves (2 of 2: Circle and straight line)
    vbsHK0p-5SA    |    《살아남은 로맨스》 PV 공개!
    Dis-C78LV-c    |    Quadratic Factorisation (1 of 3: Overview of Methods)
    S_Tc4ak9Wmg    |    Quadratic Factorisation (2 of 3: Translating to a quadratic equation)
    jSeSA5FxmzQ    |    Quadratic Factorisation (3 of 3: Interpreting quadratic solutions)
    TArekc3kS64    |    Factorising Algebraic Expressions (1 of 3: Grouping)
    qECXxjOTdWM    |    Factorising Algebraic Expressions (2 of 3: Non-Monic Quadratic)
    Lv0f47Whycc    |    Factorising Algebraic Expressions (3 of 3: The Quadratic Formula)
    vt491JmFgP0    |    Factorising Non-Monic Quadratics: 4 Methods
    _yqLjaYjCQs    |    Binomial Expansions with Surds
    DvKlCKAiMcE    |    Y10 Review Questions (Solving an equation with surds)
    gmf3Nu7js6c    |    Y10 Review Questions: Manipulating Surds
    altB_OEHu08    |    Rationalising Binomial Denominators
    Mqmv9JMjCBg    |    Y10 Review Questions (Rationalising denominators)
    _nUk1-omrdU    |    Y10 Review Questions (Solving an inequality, rationalising a denominator)
    buoAzyIjqkI    |    【ぽるし】ブレインロット　踊ってみた
    SECM6theBTA    |    Cubic Identities (1 of 3: What is an identity?)
    HvvFfTmK2pE    |    Cubic Identities (2 of 3: Cubes of sum & difference)
    7lv43uJKfZc    |    Cubic Identities (3 of 3: Sum & difference of cubes)
    TpLcjqZ-DsU    |    Preliminary Extension 1 Quiz (Algebraic Fractions, Factorisation)
    YtuIeDkBpDQ    |    Polynomial Division & Graphing (1 of 3: Performing long division)
    Rdp0BlnNYiA    |    Polynomial Division & Graphing (2 of 3: Factorising the whole polynomial)
    NAYtI2qETN0    |    Polynomial Division & Graphing (3 of 3: Relating the intercepts & graph shape)
    qO3LSfON-i0    |    Polynomial Division (1 of 3: How do I deal with "missing" terms?)
    3WTk2VjCV20    |    Polynomial Division (2 of 3: Understanding polynomial remainders)
    AL3qBa4uGZ4    |    Polynomial Division (3 of 3: A useful shortcut - synthetic division)
    jj1liewb6dc    |    Intro to Polynomial Division (1 of 3: Comparing to numerical division)
    VKEZWA7-mDE    |    Intro to Polynomial Division (2 of 3: Basic example)
    0l0KKxVZAYo    |    Intro to Polynomial Division (3 of 3: Why is it important?)
    jlKOXI7AIn4    |    Polynomial Division (1 of 4: Extending the Long Division technique to accommodate Functions)
    3Uu2IbV843M    |    Polynomial Division (2 of 4: Introduction to Synthetic Polynomial Division)
    wiVWN9RiueA    |    Polynomial Division (3 of 4: Where does the Remainder/Factor Theorem come from?)
    SAbl6w96zVY    |    Polynomial Division (4 of 4: How the Factor Theorem assists Polynomial Curve Sketching)
    lg2FjYbhntQ    |    Simultaneous Linear/Quadratic Equations (1 of 2: Considering a line & parabola)
    g1_5uckynk4    |    Simultaneous Linear/Quadratic Equations (2 of 2: Varying numbers of solutions)

"[diff_P1] 2019_Jul19_Aug16 CalculusReboot3"     [https://www.youtube.com/playlist?list=PLyQ7uIPMuZMwJGiVTMjDbVwJbxAqcfAii]
    NRSmIE5MMBQ    |    Prologue to Calculus (1 of 5: How fast did Usain Bolt run?)
    JB8DJOfMEMs    |    Prologue to Calculus (2 of 5: How can we measure more accurately?)
    8oSSNUGcM24    |    Prologue to Calculus (3 of 5: The difference quotient)
    wzelvGiFOSA    |    Prologue to Calculus (4 of 5: Exploring a parabola)
    7fJeIzy6FRU    |    Prologue to Calculus (5 of 5: Gradient of the tangent)
    tt2DGYOi3hc    |    Introduction to Calculus (1 of 2: Seeing the big picture)
    ipd-hFrOwxU    |    The importance of empathy
    a-FdYsY_h1w    |    Basics of Calculus (1 of 5: Foundational language & notation)
    6rJ9hDUEeoQ    |    Basics of Calculus (2 of 5: Example of using first principles)
    D9PYpY4Crig    |    Basics of Calculus (3 of 5: Observing patterns in first principles)
    Ye8lTUo4k0g    |    Basics of Calculus (4 of 5: Considering the gradient function visually)
    BDNQ-_vwxHo    |    Basics of Calculus (5 of 5: Locating a tangent)
    fQsy2hX_HOE    |    Using technology to open the classroom
    CkSUqSyOZFM    |    What are Limits? (2 of 3: A More Rigorous Definition)
    cm4_V5hopcE    |    Limits & Continuity (2 of 3: Limits that exists when functions don't)
    uVLWZCPwTh8    |    Angle of Inclination (with Calculus)
    MnZfIhVBys8    |    Power Rule for Differentiation (1 of 4: Conjecture)
    u3na7Avih0Q    |    Power Rule for Differentiation (2 of 4: Background knowledge)
    hGeoqx7mLmA    |    Power Rule for Differentiation (3 of 4: Derivation of rule)
    -xss-s3-RZs    |    Power Rule for Differentiation (4 of 4: Hyperbola)
    UuQc6XmWT64    |    Basics of Calculus, continued (1 of 2: Sum of functions)
    qMiKkmdMy08    |    Basics of Calculus, continued (2 of 2: Multiples of functions, constant function)
    DW4-VWyrl8g    |    Maths anxiety in parents
    Gp5EDpCrUAM    |    Leibniz's Derivative Notation (1 of 3: Overview)
    593arm_0W6g    |    Leibniz's Derivative Notation (2 of 3: Finding equation of a tangent)
    cCUk5kLBXVc    |    Leibniz's Derivative Notation (3 of 3: Introducing the chain rule)
    6LcSWvv9mE8    |    Using the Chain (Function of a Function) Rule
    6R3zwV61Uqk    |    Product Rule (1 of 2: It's Complicated...)
    Xkm-V59j8Zw    |    Proving Product Rule
    8gX167CjWmA    |    Product Rule - Definition
    EDUFdEjcUYM    |    Quotient Rule (1 of 2: Proof from product & chain rule)
    lQAVLtbjsgw    |    Quotient Rule (2 of 2: Worked examples)
    frp1jk2j5tY    |    The student-teacher connection
    lhdOidxG2Sw    |    It's a Numberful World: US Book Launch!
    Gh-0XnpiKME    |    Fraction Forms and Open Problems

"1.10 - algebra.Graphs 3.1"     [https://www.youtube.com/playlist?list=PLyQ7uIPMuZMxYznz6VsfDRKVKA9Agzkx1]
    3UEcLKv4QJM    |    If Graphs Confuse You, Start Here
    p2FRcEZezGM    |    Graphing Polynomials (1 of 4: Fundamental graphs)
    AvvZrPabPEk    |    Graphing Polynomials (2 of 4: Horizontal translation)
    OefcWVuEM2s    |    Graphing Polynomials (3 of 4: Vertical translation)
    AuePFikS3iU    |    Graphing Polynomials (4 of 4: Dilation)
    5Hfz6Y12SvM    |    Graphing Techniques Q&A (2 of 3: Vertical transformation example)
    yQEejQLeNSE    |    Graphing Techniques Q&A (3 of 3: Solving an inequality visually)
    AEa3IquBV78    |    Graphing Absolute Value Functions (1 of 3: Definitions)
    rBjIQbC674k    |    Graphing Absolute Value Functions (2 of 3: Translations)
    0EkCMSoz7AU    |    Graphing Absolute Value Functions (3 of 3: Reflections & non-linear curves)
    7OstCuWfV9A    |    Graphing Exponentials & Logs (1 of 5: Fundamental graphs)
    XG4tqFMLzgU    |    Graphing Exponentials & Logs (2 of 5: Overview of transformations)
    EYoodEYrbvg    |    Graphing Exponentials & Logs (3 of 5: Reflected exponential graphs)
    pWO4ySkaz_I    |    Graphing Exponentials & Logs (4 of 5: Translated logarithmic graph)
    DtP8HCUNKWU    |    Graphing Exponentials & Logs (5 of 5: Reflected logarithmic graph)
    40FJObU7oxU    |    Graphs of Logarithms (1 of 3: Considering integer values)
    qOcI87pT0VU    |    Graphs of Logarithms (2 of 3: Investigating near x=0)
    TndEh_7ALmw    |    Graphs of Logarithms (3 of 3: Visualising the shape)
    cUoQy4UDMcs    |    Graphing Rational Functions (1 of 4: Understanding asymptotes)
    EN9rWktLiWA    |    Graphing Rational Functions (2 of 4: Basic example)
    alYwrZmCU5A    |    Graphing Rational Functions (3 of 4: Harder example - identifying features)
    XSPjpy3UUiY    |    Graphing Rational Functions (4 of 4: Harder example - constructing graph)
    0-SgHGSJpKM    |    Solving Inequalities with Graphs (1 of 4: Understanding the visual approach)
    1fCXjn9WoSc    |    Solving Inequalities with Graphs (2 of 4: Polynomial example)
    OPZAHBhPclc    |    Solving Inequalities with Graphs (3 of 4: Hyperbola example)
    NDIjVhwWcWc    |    Solving Inequalities with Graphs (4 of 4: A secondary algebraic technique)
    D5QFxxfe6kU    |    Graphing Regions on the Cartesian Plane
    Xb8rMTufC1Y    |    Reviewing Trigonometric Functions (1 of 3: Re-introducing the sine graph)
    dlSCde_bZBI    |    Reviewing Trigonometric Functions (2 of 3: Features of sine and cosine)
    RFJzMm_6l2I    |    Reviewing Trigonometric Functions (3 of 3: Basic features of the tan graph)
    Cu1jg7wLOKk    |    The Ferris Wheel - Trigonometric Function Model (1 of 3: Setting up the equation)
    4_viqcSyc5c    |    The Ferris Wheel - Trigonometric Function Model (2 of 3: Adjusting the period)
    vhovLKslals    |    The Ferris Wheel - Trigonometric Function Model (3 of 3: Interpreting results)
    vS-D6sDwoLY    |    Trigonometric Graph Exam Question (1 of 2: Sketching the functions)
    aNr3jhE0Peg    |    Trigonometric Graph Exam Question (2 of 2: Domain for intersections)
    sp8MJEWClkY    |    Solving Trigonometric Equations (1 of 3: Using the Pythagorean Identity)
    jKrGXVBuniw    |    Solving Trigonometric Equations (2 of 3: Using the graph)
    hQs5TaLw2IY    |    Solving Trigonometric Equations (3 of 3: Shifted and dilated function)
    3dSta0NHomY    |    Modifications of Trigonometric Graphs (1 of 5: Frequency/Period)
    1aWgEUiGDDU    |    Modifications of Trigonometric Graphs (2 of 5: Amplitude)
    0jDV3LO8yv4    |    Modifications of Trigonometric Graphs (3 of 5: Vertical Shift)
    1LBXrqQyWE0    |    Modifications of Trigonometric Graphs (4 of 5: Horizontal Shift)
    L_RXklDublI    |    Modifications of Trigonometric Graphs (5 of 5: Reflection)
    ES5YAZGA0E8    |    Modifying the Trigonometric Functions (Using live graphs)
    eFGa7u8kDBo    |    Graphing y = tan(x÷3)
    IRab2gO2arE    |    Trigonometric Graphs with Multiple Modifications (1 of 2: Phase & Frequency)
    CZaLNk6m5ik    |    Trigonometric Graphs with Multiple Modifications (2 of 2: Amplitude & Vertical Shift)
    _JfCy9iPpAM    |    Graphing Trigonometric Functions (Example: y = 3cos(x) - 2)

"1.11 - algebra.Graphs 3.2"     [https://www.youtube.com/playlist?list=PLyQ7uIPMuZMyNPltB3GymKySnsAfMYUS1]
    EwZcwr_OPxA    |    Domain and Range (1 of 2: Introduction)
    mOVbI_kDvKY    |    Domain and Range (2 of 2: Examples)
    mYsUjlqX2Aw    |    Classifying Functions & Relations (1 of 2: 1-to-1, Many-to-1)
    JoQGXVaLicg    |    Classifying Functions & Relations (2 of 2: 1-to-Many, Many-to-Many)
    vRBHZMxwhf4    |    Interval Notation (1 of 2: Bounded intervals)
    eQXp-1u8GOY    |    Interval Notation (2 of 2: Unbounded intervals)
    Q2yYePKysX0    |    Advice To My 12 Year Old Self
    VaQRxA4kspA    |    Graphing Quadratics Equations (1 of 6: Why do we care about them?)
    KK0okXH4XDE    |    Graphing Quadratics Equations (2 of 6: Summary of basic features)
    X_2qm7n76lw    |    Graphing Quadratics Equations (3 of 6: x & y-intercepts)
    QPCcmbIX1-4    |    Graphing Quadratics Equations (4 of 6: Visually interpreting background calculations)
    04HrlRSMU74    |    Graphing Quadratics Equations (5 of 6: Considering accuracy & rounding)
    TGI74Tg9hYc    |    Graphing Quadratics Equations (6 of 6: Locating the vertex)
    nhLVnAi1roM    |    Graphing Parabolas via Transformation (1 of 2: Rearranging algebraically)
    QsEt81U8bi4    |    Graphing Parabolas via Transformation (2 of 2: Thinking visually)
    _4JCnX5zbr0    |    Graphing Cubic Functions (1 of 4: Considering y = x³)
    nwH1dVcxP6A    |    Graphing Cubic Functions (2 of 4: Vertical translation)
    x4NkROT90-k    |    Graphing Cubic Functions (3 of 4: Factored form)
    WEVLoks9j_o    |    Graphing Cubic Functions (4 of 4: Geometric features)
    5fQiJrI8y2g    |    Teacher Talk with Eddie Woo (Series Preview)
    xukRA98Gd-A    |    Solving Cubic Inequalities (1 of 3: Interpreting the graph)
    s4MPWWQTSKQ    |    Solving Cubic Inequalities (2 of 3: Expressing the solution)
    wbNUx1TYx70    |    Solving Cubic Inequalities (3 of 3: Considering isolated points)
    lg2FjYbhntQ    |    Simultaneous Linear/Quadratic Equations (1 of 2: Considering a line & parabola)
    g1_5uckynk4    |    Simultaneous Linear/Quadratic Equations (2 of 2: Varying numbers of solutions)
    33XaQeUHTFE    |    Growth mindset in the classroom
    rrKXfBxb_og    |    Adding Functions (1 of 2: Linear + Linear)
    YYGOKkvcQlI    |    Adding Functions (2 of 2: Linear + Quadratic)
    QBT4ZimoVxM    |    Subtracting Functions (1 of 2: Linear — Linear)
    X6iDUQ-pzlY    |    Subtracting Functions (2 of 2: Quadratic — Linear)
    51PYtvNhiM0    |    Making mistakes & perspectives
    8hqRbvzsvYM    |    Being a "Maths Person"?
    g1Gzgp2Q6ys    |    Graphing Circles (1 of 4: Review of functions)
    -69zB0-jJRQ    |    Graphing Circles (2 of 4: Centering on the origin)
    4HUKp5YflWQ    |    Graphing Circles (3 of 4: Other centres/radii)
    Id6HI_MCY1A    |    Graphing Circles (4 of 4: Completing the square)
    -gXFmCtUBQg    |    Equation of a Semicircle
    DcDfbyciNQU    |    Playfulness of mathematics
    ISrPPDKs7yU    |    Absolute Value Equations & Inequalities (1 of 4: Visualising an equation)
    juIjg2hdWIM    |    Absolute Value Equations & Inequalities (2 of 4: Visualising the inequality)
    tM5e-ScW4hU    |    Absolute Value Equations & Inequalities (3 of 4: Separate intervals)
    nn7MWBpGHik    |    Absolute Value Equations & Inequalities (4 of 4: Graphing to avoid unnecessary algebra)
    tPSq3eTySN8    |    Adapting teaching practice
    PzkEv2J8HUY    |    Reflecting Functions (1 of 3: Setting up an example)
    pfXMPOXZVzM    |    Reflecting Functions (2 of 3: What happens when we graph f(-x)?)
    bjf18uvURj4    |    Reflecting Functions (3 of 3: What happens when we graph -f(x)?)
    IUy9B9_Wf6U    |    Function Symmetry (1 of 4: Overview & definitions)
    RqslImHaVRc    |    Function Symmetry (2 of 4: Why are they called "odd" & "even"?)
    4bXzow290Hg    |    Function Symmetry (3 of 4: Combining symmetries)
    T48BgTrHm4w    |    Function Symmetry (4 of 4: Differentiating an odd function)

"1.12 - algebra.Diff 2"     [https://www.youtube.com/playlist?list=PLyQ7uIPMuZMzgYml8JvxRDS_7z_ggybw_]
    leigGc1-fAA    |    Advice to My Younger Self - ABC 7.30
    _8ObUA1e61w    |    Review of Basic Differentiation (1 of 2: Polynomials, Products, Quotients)
    _Jc1uTs5feM    |    Review of Basic Differentiation (2 of 2: Considering derivatives visually)
    jfEnhR2D24o    |    Calculus of Exponential Functions (1 of 4: Considering derivatives visually)
    Ma8v8fiAgDg    |    Calculus of Exponential Functions (2 of 4: The importance of 2.718...)
    AYUoRTxBhKc    |    Calculus of Exponential Functions (3 of 4: Basic differentiation examples)
    zAfc32nzUgU    |    Calculus of Exponential Functions (4 of 4: Differentiating with non-e bases)
    ZfzHo1BnBH8    |    Determining Derivatives from Graphs (1 of 3: Identifying major features)
    7J18HDpewp4    |    Determining Derivatives from Graphs (2 of 3: Considering sign of the gradient)
    LXS_bM4nWlk    |    Determining Derivatives from Graphs (3 of 3: Reversing the process)
    OwK1RSnM2xo    |    Taking a moment
    sVH_KYOPahM    |    Introducing Calculus of Exponential Functions (1 of 6: Considering other functions)
    xxSZ3_SOHS8    |    Introducing Calculus of Exponential Functions (2 of 6: Characteristics of the gradient)
    U_gpNS8bsLc    |    Introducing Calculus of Exponential Functions (3 of 6: Using the uniqueness of e)
    8qatxhYCTew    |    Introducing Calculus of Exponential Functions (4 of 6: Simple chain rule examples)
    QacL2jxK1as    |    Introducing Calculus of Exponential Functions (5 of 6: Common mistakes with notation)
    AhSt7KD5Q8w    |    Introducing Calculus of Exponential Functions (6 of 6: Finding equation of a tangent)
    BamDNJ0S0A8    |    f(x) = x²(x-1) (1 of 4: Initial sketch)
    qDAu417XfZg    |    f(x) = x²(x-1) (2 of 4: Horizontal shift)
    gmD-jPt6zoE    |    f(x) = x²(x-1) (3 of 4: Differentiation)
    9D8xcMnXKHg    |    f(x) = x²(x-1) (4 of 4: Equation of a tangent)
    Xb8rMTufC1Y    |    Reviewing Trigonometric Functions (1 of 3: Re-introducing the sine graph)
    dlSCde_bZBI    |    Reviewing Trigonometric Functions (2 of 3: Features of sine and cosine)
    RFJzMm_6l2I    |    Reviewing Trigonometric Functions (3 of 3: Basic features of the tan graph)
    AkQ2zudU6p0    |    Futoshiki (fun puzzle with inequalities)
    7D9KlMOODio    |    The Year That Made Me (ABC Radio National interview)
    Cu1jg7wLOKk    |    The Ferris Wheel - Trigonometric Function Model (1 of 3: Setting up the equation)
    4_viqcSyc5c    |    The Ferris Wheel - Trigonometric Function Model (2 of 3: Adjusting the period)
    vhovLKslals    |    The Ferris Wheel - Trigonometric Function Model (3 of 3: Interpreting results)
    UCJObolGfws    |    Intro to Trigonometric Calculus (1 of 5: Review questions)
    -m8bUuVVoPI    |    Intro to Trigonometric Calculus (2 of 5: Investigating the gradient of sin x)
    rdN1oxtds8U    |    Small Angle Approximations (1 of 4: Proof)
    p1Vl9YNNIbw    |    Small Angle Approximations (2 of 4: Applied examples)
    JByRDFa0plg    |    Small Angle Approximations (3 of 4: Pure examples)
    ywTuVEWtM5g    |    Intro to Trigonometric Calculus (3 of 5: Investigating gradient magnitude)
    Z30kMs08HL4    |    Intro to Trigonometric Calculus (4 of 5: Derivative of cos x)
    FGgrXjCVWF8    |    Intro to Trigonometric Calculus (5 of 5: Derivative of tan x)
    RjMNyZbP9PY    |    Small Angle Approximations (4 of 4: Derivative of sin(x))

"1.13 - algebra.Diff 3"     [https://www.youtube.com/playlist?list=PLyQ7uIPMuZMxjiKpG2PYsMn2ryZ-4lJ13]
    uXgKXfVMeFw    |    A Lesson in Memory
    uZL0Y4IkJIU    |    Differentiating Simple Trigonometric Functions (examples)
    NtMgTrvKCk4    |    Differentiating Trigonometric Functions - examples
    16H9vgX0_Mo    |    Review of Logarithm Laws
    yeXTsh3F2cU    |    Differentiating the Logarithmic Function (1 of 5: Using visual intuition)
    L0ck-NNda1o    |    Differentiating the Logarithmic Function (2 of 5: Incorporating chain rule)
    NmQWTapWlW8    |    Differentiating the Logarithmic Function (3 of 5: Proof by implicit differentiation)
    PRpqtwHHR0M    |    Differentiating the Logarithmic Function (4 of 5: Restricting domain)
    dT-7IjTlnZk    |    Differentiating the Logarithmic Function (5 of 5: Equation of a tangent)
    p7wgwRCVclc    |    Differentiating Exponentials with Other Bases (1 of 3: Review questions)
    rF_FqovGZXM    |    Differentiating Exponentials with Other Bases (2 of 3: Deriving a key result)
    ZX_NJ4MDSMU    |    Differentiating Exponentials with Other Bases (3 of 3: Establishing the formula)
    vvgvjVWTNtc    |    Differentiating Logarithms with Other Bases
    -S5_9V0T8Hs    |    Phenomenom: Eddie Woo and the Fun Guys (who are actually quite serious)
    KtQwEHZaiO4    |    Differentiating Exponential Functions (1 of 2: Reviewing simple derivatives)
    4F_uzwC1Ppk    |    Differentiating Exponential Functions (2 of 2: Step by step Chain Rule)
